Year,Area,Main type of activity,Level of education,Population 31 Dec
2008,MK09 South Karelia,Unemployed,Total,7402
2008,MK09 South Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,223
2008,MK04 Satakunta,Total,Total,226358
2008,MK04 Satakunta,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8256
2008,MK04 Satakunta,Employed,Total,95682
2008,MK04 Satakunta,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6571
2008,MK04 Satakunta,Unemployed,Total,10765
2008,MK04 Satakunta,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,229
2008,MK06 Pirkanmaa,Total,Total,484638
2008,MK06 Pirkanmaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,33452
2008,MK06 Pirkanmaa,Employed,Total,216583
2008,MK06 Pirkanmaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,27206
2008,MK06 Pirkanmaa,Unemployed,Total,23657
2008,MK06 Pirkanmaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1207
2008,MK13 Central Finland,Total,Total,269108
2008,MK13 Central Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,15854
2008,MK13 Central Finland,Employed,Total,111557
2008,MK13 Central Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,12432
2008,MK13 Central Finland,Unemployed,Total,15200
2008,MK13 Central Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,824
2008,MK14 South Ostrobothnia,Total,Total,198502
2008,MK14 South Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6219
2008,MK14 South Ostrobothnia,Employed,Total,83458
2008,MK14 South Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5135
2008,MK14 South Ostrobothnia,Unemployed,Total,8111
2008,MK14 South Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,151
2008,MK15 Ostrobothnia,Total,Total,170994
2008,MK15 Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,9213
2008,MK15 Ostrobothnia,Employed,Total,78419
2008,MK15 Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,7734
2008,MK15 Ostrobothnia,Unemployed,Total,4780
2008,MK15 Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,219
2008,MK10 South Savo,Total,Total,147892
2008,MK10 South Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5653
2008,MK10 South Savo,Employed,Total,58405
2008,MK10 South Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4278
2008,MK10 South Savo,Unemployed,Total,7600
2008,MK10 South Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,186
2008,MK11 North Savo,Total,Total,253899
2008,MK11 North Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,12085
2008,MK11 North Savo,Employed,Total,102636
2008,MK11 North Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,9790
2008,MK11 North Savo,Unemployed,Total,13540
2008,MK11 North Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,390
2008,MK12 North Karelia,Total,Total,170194
2008,MK12 North Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7681
2008,MK12 North Karelia,Employed,Total,65007
2008,MK12 North Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5875
2008,MK12 North Karelia,Unemployed,Total,11826
2008,MK12 North Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,415
2008,MK16 Central Ostrobothnia,Total,Total,67991
2008,MK16 Central Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2357
2008,MK16 Central Ostrobothnia,Employed,Total,28672
2008,MK16 Central Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1972
2008,MK16 Central Ostrobothnia,Unemployed,Total,2853
2008,MK16 Central Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,41
2008,MK17 North Ostrobothnia,Total,Total,392652
2008,MK17 North Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,22525
2008,MK17 North Ostrobothnia,Employed,Total,161165
2008,MK17 North Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,18647
2008,MK17 North Ostrobothnia,Unemployed,Total,20504
2008,MK17 North Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,915
2008,MK18 Kainuu,Total,Total,79690
2008,MK18 Kainuu,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2918
2008,MK18 Kainuu,Employed,Total,29787
2008,MK18 Kainuu,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2294
2008,MK18 Kainuu,Unemployed,Total,5708
2008,MK18 Kainuu,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,124
2008,MK19 Lapland,Total,Total,183963
2008,MK19 Lapland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7094
2008,MK19 Lapland,Employed,Total,72153
2008,MK19 Lapland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5677
2008,MK19 Lapland,Unemployed,Total,11442
2008,MK19 Lapland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,264
2008,MK21 Åland,Total,Total,27456
2008,MK21 Åland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,1052
2008,MK21 Åland,Employed,Total,13960
2008,MK21 Åland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,840
2008,MK21 Åland,Unemployed,Total,287
2008,MK21 Åland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,12
2009,MK01 Uusimaa,Total,Total,1517542
2009,MK01 Uusimaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,165737
2009,MK01 Uusimaa,Employed,Total,736309
2009,MK01 Uusimaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,130248
2009,MK01 Uusimaa,Unemployed,Total,64920
2009,MK01 Uusimaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,5389
2009,MK02 Southwest Finland,Total,Total,462914
2009,MK02 Southwest Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,31059
2009,MK02 Southwest Finland,Employed,Total,200852
2009,MK02 Southwest Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,23825
2009,MK02 Southwest Finland,Unemployed,Total,24578
2009,MK02 Southwest Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1279
2009,MK05 Kanta-Häme,Total,Total,173828
2009,MK05 Kanta-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8254
2009,MK05 Kanta-Häme,Employed,Total,74346
2009,MK05 Kanta-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6348
2009,MK05 Kanta-Häme,Unemployed,Total,9400
2009,MK05 Kanta-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,228
2009,MK07 Päijät-Häme,Total,Total,208331
2009,MK07 Päijät-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8630
2009,MK07 Päijät-Häme,Employed,Total,83691
2009,MK07 Päijät-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6466
2009,MK07 Päijät-Häme,Unemployed,Total,14828
2009,MK07 Päijät-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,333
2009,MK08 Kymenlaakso,Total,Total,175556
2009,MK08 Kymenlaakso,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6711
2009,MK08 Kymenlaakso,Employed,Total,68563
2009,MK08 Kymenlaakso,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4895
2009,MK08 Kymenlaakso,Unemployed,Total,11524
2009,MK08 Kymenlaakso,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,240
2009,MK09 South Karelia,Total,Total,133210
2009,MK09 South Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6211
2009,MK09 South Karelia,Employed,Total,51692
2009,MK09 South Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4747
2009,MK09 South Karelia,Unemployed,Total,8865
2009,MK09 South Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,258
2009,MK04 Satakunta,Total,Total,226116
2009,MK04 Satakunta,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8463
2009,MK04 Satakunta,Employed,Total,91590
2009,MK04 Satakunta,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6612
2009,MK04 Satakunta,Unemployed,Total,13326
2009,MK04 Satakunta,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,270
2009,MK06 Pirkanmaa,Total,Total,488295
2009,MK06 Pirkanmaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,34629
2009,MK06 Pirkanmaa,Employed,Total,205273
2009,MK06 Pirkanmaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,27457
2009,MK06 Pirkanmaa,Unemployed,Total,32570
2009,MK06 Pirkanmaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1742
2009,MK13 Central Finland,Total,Total,270195
2009,MK13 Central Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,16281
2009,MK13 Central Finland,Employed,Total,107575
2009,MK13 Central Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,12619
2009,MK13 Central Finland,Unemployed,Total,18200
2009,MK13 Central Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,844
2009,MK14 South Ostrobothnia,Total,Total,198477
2009,MK14 South Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6446
2009,MK14 South Ostrobothnia,Employed,Total,80211
2009,MK14 South Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5282
2009,MK14 South Ostrobothnia,Unemployed,Total,10507
2009,MK14 South Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,169
2009,MK15 Ostrobothnia,Total,Total,172085
2009,MK15 Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,9547
2009,MK15 Ostrobothnia,Employed,Total,75590
2009,MK15 Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,7930
2009,MK15 Ostrobothnia,Unemployed,Total,6693
2009,MK15 Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,266
2009,MK10 South Savo,Total,Total,146979
2009,MK10 South Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5766
2009,MK10 South Savo,Employed,Total,56408
2009,MK10 South Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4327
2009,MK10 South Savo,Unemployed,Total,8783
2009,MK10 South Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,173
2009,MK11 North Savo,Total,Total,253605
2009,MK11 North Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,12394
2009,MK11 North Savo,Employed,Total,98758
2009,MK11 North Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,9981
2009,MK11 North Savo,Unemployed,Total,16062
2009,MK11 North Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,437
2009,MK12 North Karelia,Total,Total,169937
2009,MK12 North Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7790
2009,MK12 North Karelia,Employed,Total,62966
2009,MK12 North Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5986
2009,MK12 North Karelia,Unemployed,Total,12586
2009,MK12 North Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,371
2009,MK16 Central Ostrobothnia,Total,Total,68131
2009,MK16 Central Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2457
2009,MK16 Central Ostrobothnia,Employed,Total,27888
2009,MK16 Central Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2045
2009,MK16 Central Ostrobothnia,Unemployed,Total,3318
2009,MK16 Central Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,66
2009,MK17 North Ostrobothnia,Total,Total,395510
2009,MK17 North Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,23273
2009,MK17 North Ostrobothnia,Employed,Total,155633
2009,MK17 North Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,18982
2009,MK17 North Ostrobothnia,Unemployed,Total,24630
2009,MK17 North Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1076
2009,MK18 Kainuu,Total,Total,79234
2009,MK18 Kainuu,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2945
2009,MK18 Kainuu,Employed,Total,29125
2009,MK18 Kainuu,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2307
2009,MK18 Kainuu,Unemployed,Total,5653
2009,MK18 Kainuu,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,127
2009,MK19 Lapland,Total,Total,183748
2009,MK19 Lapland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7310
2009,MK19 Lapland,Employed,Total,69818
2009,MK19 Lapland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5789
2009,MK19 Lapland,Unemployed,Total,12959
2009,MK19 Lapland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,301
2009,MK21 Åland,Total,Total,27734
2009,MK21 Åland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,1078
2009,MK21 Åland,Employed,Total,13687
2009,MK21 Åland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,845
2009,MK21 Åland,Unemployed,Total,461
2009,MK21 Åland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,17
2010,MK01 Uusimaa,Total,Total,1532309
2010,MK01 Uusimaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,171944
2010,MK01 Uusimaa,Employed,Total,744820
2010,MK01 Uusimaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,134452
2010,MK01 Uusimaa,Unemployed,Total,59111
2010,MK01 Uusimaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,5188
2010,MK02 Southwest Finland,Total,Total,465183
2010,MK02 Southwest Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,32013
2010,MK02 Southwest Finland,Employed,Total,202007
2010,MK02 Southwest Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,24486
2010,MK02 Southwest Finland,Unemployed,Total,23372
2010,MK02 Southwest Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1218
2010,MK05 Kanta-Häme,Total,Total,174555
2010,MK05 Kanta-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8534
2010,MK05 Kanta-Häme,Employed,Total,75133
2010,MK05 Kanta-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6556
2010,MK05 Kanta-Häme,Unemployed,Total,8756
2010,MK05 Kanta-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,215
2010,MK07 Päijät-Häme,Total,Total,208777
2010,MK07 Päijät-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8993
2010,MK07 Päijät-Häme,Employed,Total,85166
2010,MK07 Päijät-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6770
2010,MK07 Päijät-Häme,Unemployed,Total,12845
2010,MK07 Päijät-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,302
2010,MK08 Kymenlaakso,Total,Total,175377
2010,MK08 Kymenlaakso,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6890
2010,MK08 Kymenlaakso,Employed,Total,69323
2010,MK08 Kymenlaakso,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4981
2010,MK08 Kymenlaakso,Unemployed,Total,10742
2010,MK08 Kymenlaakso,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,243
2010,MK09 South Karelia,Total,Total,132899
2010,MK09 South Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6520
2010,MK09 South Karelia,Employed,Total,52523
2010,MK09 South Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4895
